Unnamed: 0,id,restaurantName,address,zipCode,phone,website,latitude,longitude,stateName,cityName,hoursInterval,cuisineType,email,review
0,2239711722264,Dunkin',464 W Mount Pleasant Ave,07039,+1 973-422-0007,https://locations.dunkindonuts.com/en/nj/livingston/464-w-mount-pleasant-ave/352860,40.796947,-74.3449,NJ,Livingston,Sun (6:00 AM - 6:00 PM) | Mon - Sat (6:00 AM - 7:00 PM),Restaurant,,2
1,5100879803616,Anthony's Coal Fired Pizza,8119 Town Center Way,07039,+1 973-992-2625,http://www.acfp.com,40.796246,-74.31445,NJ,Livingston,Sun - Thu (11:00 AM - 9:00 PM) | Fri - Sat (11:00 AM - 10:00 PM),"Italian,Pizza,Bar",,0
2,8925168541110,Cinnabon,122 Eisenhower Pkwy,07039,+1 973-758-1005,http://www.cinnabon.com/,40.778145,-74.35563,NJ,Livingston,Sun (7:00 AM - 6:00 PM) | Mon - Fri (7:00 AM - 9:00 PM) | Sat (7:00 AM - 9:30 PM),Restaurant,,0
3,30291875313181,Tropical Smoothie Cafe,280 Eisenhower Parkway,07039,+1 973-486-6231,https://locations.tropicalsmoothiecafe.com/nj/livingston/280-eisenhower-parkway,40.798134,-74.34058,NJ,Livingston,Sun (10:00 AM - 8:00 PM) | Mon - Fri (7:00 AM - 9:00 PM) | Sat (8:00 AM - 9:00 PM),Restaurant,,0
4,35385286289958,Shake Shack Livingston at the Circle,280 Eisenhower Parkway,07039,+1 973-629-8329,https://shakeshack.olo.com/menu/livingston-nj/,40.79786,-74.3406,NJ,Livingston,Sun - Thu (11:00 AM - 9:00 PM) | Fri - Sat (11:00 AM - 9:30 PM),"American,Fast Food",share@shakeshack.com,0
5,32121437616940,16 Handles,4115 Town Center Way,07039,+1 973-369-7226,https://locations.16handles.com/16-handles-88001489195c,40.796814,-74.3152,NJ,Livingston,Sun - Thu (12:00 PM - 9:00 PM) | Fri - Sat (12:00 PM - 10:00 PM),Cafe,livingston@16handles.com,0
6,24562956116868,Frutta Bowls,142 S Livingston Ave,07039,+1 973-992-1328,https://www.fruttabowls.com/location/frutta-bowls-livingston-new-jersey/,40.79146,-74.31406,NJ,Livingston,Wed - Fri (10:00 AM - 6:30 PM) | Sat - Tue (10:00 AM - 6:00 PM),Restaurant,livingston@fruttabowls.com,0
7,48734427399116,Dunkin',31-35 East Northfield Rd,07039,+1 973-740-2313,https://locations.dunkindonuts.com/en/nj/livingston/31-35-east-northfield-rd/344414,40.77413,-74.322945,NJ,Livingston,Sun (6:00 AM - 7:00 PM) | Mon - Sat (5:00 AM - 7:00 PM),"American,Cafe",,0
8,22342633079778,Cinnabon,112 Eisenhower Pkwy Ste 23A,07039,+1 973-251-2318,https://locations.cinnabon.com/nj/livingston/112-eisenhower-pkwy,40.776867,-74.353775,NJ,Livingston,Sun (12:00 PM - 6:00 PM) | Mon - Thu (10:00 AM - 8:00 PM) | Fri - Sat (10:00 AM - 9:00 PM),"American,Cafe",,0
9,29161413733660,Paris Baguette,277 Eisenhower Parkway,07039,+1 862-832-4040,,40.797924,-74.342735,NJ,Livingston,Mon - Fri (6:00 AM - 10:00 PM) | Sat - Sun (6:30 AM - 10:00 PM),Cafe,,0
10,45202525524541,Lithos Restaurant,405 Eisenhower Parkway,07039,+1 973-758-1111,http://lithosgreek.restaurant,40.816994,-74.3321,NJ,Livingston,Sun (1:00 PM - 9:00 PM) | Mon - Thu (11:30 AM - 10:00 PM) | Fri (11:30 AM - 11:00 PM) | Sat (4:30 PM - 11:00 PM),"Mediterranean,Greek,Seafood",lithos405@gmail.com,0
